"Transaction ID","Due/Scheduled date","Date paid","Type","Amount","Currency","FX rate on transaction date","Amount (EUR)","Counterparty","Expense category","Channel/warehouse","Status","Reconciled","Supporting document","Notes","PO#/Shipment Ref"
"TXN-0035","2026-07-15","2026-07-15","vendor payment","13460.58","EUR","","13460.58","fly fulfillment GmbH","Fulfillment","FF","paid","FALSE","13 406,58 EUR_14.07.2026_fly fulfillment GmbH.pdf","",""
"TXN-0036","2026-07-09","2026-07-09","vendor payment","29932.99","EUR","","29932.99","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","29 932,99  EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0037","2026-07-09","2026-07-09","vendor payment","29888.48","EUR","","29888.48","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","29 888,48 EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0038","2026-07-09","2026-07-09","vendor payment","28806.89","EUR","","28806.89","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","28 806,89 EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0039","2026-07-09","2026-07-09","vendor payment","28722.1","EUR","","28722.1","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","28 722,10 EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0040","2026-07-09","2026-07-09","vendor payment","9568.25","EUR","","9568.25","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","9568,25 EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0041","2026-07-09","2026-07-09","vendor payment","12847.64","EUR","","12847.64","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","12 847,64 EUR_09.07.2026_Expeditors International GmbH.pdf","",""
"TXN-0042","2026-07-21","2026-07-21","vendor payment","19056.71","EUR","","19056.71","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","19 056,71 EUR_20.07.2026_Expeditors International GmbH.pdf","","PO1-Wave3"
"TXN-0043","2026-07-23","2026-07-23","vendor payment","19209.21","EUR","","19209.21","Expeditors International GmbH","Freight & Customs (incl. taxes)","FF","paid","FALSE","19209,21 EUR_22.07.2026_Expeditors International GmbH (1).pdf","","PO1-Wave3"
"TXN-0044","2026-07-28","2026-07-28","vendor payment","11313.05","EUR","","11313.05","DHL Paket GmbH","Last Mile","FF","paid","FALSE","11 307,23 EUR_10.07.2026_DHL Paket GmbH.pdf","5,12 EUR_10.07.2026_DHL Paket GmbH.pdf",""
"TXN-0045","2026-06-22","2026-06-22","vendor payment","31.06","EUR","","31.06","Deutsche Post AG","Last Mile","FF","paid","FALSE","","",""
"TXN-0046","2026-07-02","2026-07-02","vendor payment","22331.48","EUR","","22331.48","Deutsche Post AG","Last Mile","FF","paid","FALSE","22 331,48 EUR_30.06.2026_DHL Paket GmbH.pdf","",""
"TXN-0047","2026-07-07","2026-07-07","vendor payment","2584.82","EUR","","2584.82","Deutsche Post AG","Last Mile","FF","paid","FALSE","2584,82 EUR_30.06.2026_Deutsche Post AG.pdf","",""
"TXN-0048","2026-07-23","2026-07-23","vendor payment","9159.56","EUR","","9159.56","Deutsche Post AG","Last Mile","FF","paid","FALSE","9159,56 EUR_20.07.2026_DHL Paket GmbH.pdf","",""
"TXN-0049","2026-07-23","2026-07-23","vendor payment","11084.75","EUR","","11084.75","Deutsche Post AG","Last Mile","FF","paid","FALSE","11 084,75 EUR_20.07.2026_DHL Paket GmbH.pdf","",""
"TXN-0050","2026-07-24","2026-07-24","vendor payment","1702.88","EUR","","1702.88","Deutsche Post AG","Last Mile","FF","paid","FALSE","1702,88 EUR_20.07.2026_Deutsche Post AG.pdf","",""
"TXN-0051","2026-07-24","2026-07-24","vendor payment","1289.53","EUR","","1289.53","Deutsche Post AG","Last Mile","FF","paid","FALSE","1289,53 EUR_20.07.2026_Deutsche Post AG.pdf","",""
"TXN-0052","2026-07-28","2026-07-28","vendor payment","22.61","EUR","","22.61","Deutsche Post AG","Last Mile","FF","paid","FALSE","","",""
"TXN-0053","2026-07-28","2026-07-28","vendor payment","1492.23","EUR","","1492.23","Deutsche Post AG","Last Mile","FF","paid","FALSE","1491,88 EUR_10.07.2026_Deutsche Post AG.pdf","",""
